Composer	Song	Lyrics	compound	neg	neu	pos	Label
M	Oh Woman, Oh Why	Oh woman, oh why, why, why, why   What have I done   Oh woman, oh where, where, where, where, where   Did you get that gun   Oh what have I done   What have I done   Well I met her at the bottom of a well of a well   Well I told here I was tryin' to break a spell break a spell   But I can't get by, my hands are tied   Don't why I ever got her to try myself   'Cause I can't get by, my hands are tied   Oh woman, oh why, why, why, why   What have I done   Oh woman, oh where, where, where, where, where   Did you get that gun   Oh what have you done   Woman what have you done   Well I am fed up with your lying cheating ways cheating ways   But I get up every morning and every day every day   But I can't get by, my hands are tied   Don't why I want her to try myself   'Cause I can't get by, my hands are tied   Oh woman, oh why, why, why, why   What have I done   Oh woman, oh where, where, where, where, where   Did you get that gun   Woman, what have I done   What have you done   What have I done	-0.957	0.104	0.857	0.039	n
M	Two Magpies	I saw two magpies   A girl and a boy   One for sorrow   Two for joy   With no salutes   I move away   And long to face, face, face   Face down fear   I saw two magpies   There was a girl and a boy   One for sorrow   Two for joy   Content to cry   No more to lie   I move away   And lie in truth   Look two magpies   A girl and a boy   One for sorrow   And two for joy   Three for a girl   Four for a boy   I saw two magpies   Two for joy   Content to cry   No more to lie   In truth with you   To face down fear   Content to cry   No more to lie   No more to lie   And face down fear	-0.9556	0.25	0.627	0.123	n
M	Movement II - School	BOYS   We're here in school today to get a perfect education,   Yes, we're going up.   We're keen to learn the rules and laws that civilization taught us   Yes, we're growing up.   Not for ourselves, B   But for the whole world were we born.   And we were born in Liverpool.   Our teachers say that ignorance will always drag us down,   It's like a nagging cough.   SHANTY thrown away   But I can say that looking back,   The most important thing I found was sagging off!   Not for the whole world.   But for yourself were you born.   And you were...   SHANTY and BOYS   Born in Liverpool.   BOYS   Not Birmingham   Nor Edinburgh.   Not Manchester   Or Sunderland.   Shanty   Being born where you were born   Carries with it certain responsibilities.   BOYS   This school is good for us.   Shanty   This school is only good for those   Who want to learn from books.   You'll lose your sense of purpose...   BOYS   But we dare not answer back,   We're scared of teacher's looks.   Not for ourselves,   But for the whole world were we born.   And we were born in Liverpool.   Shanty   Not Coventry   Headmaster   Or Solihull.   BOYS   Not Scarborough   Shanty   Nor Inverness.   Being born where you were born   Carries with it certain responsibilities.   Headmaster   Walk in single file out of the classroom,   Down the stairs and into the playground.   BOYS   Through the school gates,   Cross the road, and over the cemetery fence,   Down the hill to where the grave-stones   Lie inviting in the sun.   Settle down.   Settle down.   Let the afternoon slip by.   Settle down.   Settle down.   It's the perfect place for a kip.   Shanty falls asleep on a grave-stone and dreams   Shanty   Kept in confusion,   Trapped by illusion,   Thinking of speaking my mind.   Dreams of the future,   Ghosts of the past left behind.   Constantly drifting,   Endlessly lifting   More weight than one man can bear.   Into the future,   Ghosts of the past everywhere.   MEN'S CHORUS ghosts   You're sleeping amongst us,   We're in your dream,   Who are you?   Why call us?   What does this mean?   Disturbing our slumber,   You move so fast.   Shanty   Ghosts of the past.   Tossing and turning,   Somehow I'm learning   Secrets I'd rather not know.   Can't it be simple?   Why does it have to be so?   MARY DEE as ghost   I ll always be here,   I ll never leave you,   I ll always be in your mind.   Dreams of the future,   Ghosts that the past left behind.   WOMEN S CHORUS Ghosts   You re sleeping amongst us.   We re in your dream.   Who are you?   Why call us?   What does this mean?   FULL CHORUS ghosts   Disturbing our slumber,   You move so fast.   SHANTY and MARY DEE as ghost   Ghosts of the past.   Later, back in school   Headmaster   Boys, this is your teacher.   Her name is Miss Inkley.   She will reach you Spanish.   She was in the war   Fighting with the troops.   You may call her Sir!   BOYS   SIR?   Miss inkley   First of all today   You will learn a song   In a foreign tongue.   You will follow me   As I say the words.   We will now begin...   Tres conejos   BOYS   Tres conejos   Miss inkley   En un arbol   BOYS   En un arbol   Miss inkley   Tocando   BOYS   Tocando   Miss inkley   El tambor   BOYS   El tambor.   Miss inkley   Que si   BOYS   Que si   Miss inkley   Que no   BOYS   Que no   Miss inkley   Que si. Lo he visto yo.   Headmaster   Ahem!   Miss inkley   Tres conejos   En un arbol   Tocando   El tambor.   Que si   Que no   Que si.   Lo he visto yo.   SHANTY and BOYS   Tres conejos   En un arbol   Tocando   El tambor.   Que si   Que no   Que si.   Lo he visto yo.   BOYS   Tres conejos   Miss inkley   Three rabbits   BOYS   En un arbol   Miss inkley   In a tree   BOYS   Tocando   Miss inkley   Playing   BOYS   El tambor   Miss inkley   The drum.   BOYS   Que si   Miss inkley   Why yes   BOYS   Que no   Miss inkley   Why no   BOYS   Que si. Lo he visto yo.   Miss inkley   Why yes. I have seen it,   Headmaster   Ahem!   Tres conejos   En un arbol   Tocando   SHANTY and HEADMASTER   El tambor.   Headmaster   Que si   Shanty   Que si   Miss inkley   Que...   ALL   No.   Que si   Lo he visto yo.   BOYS and CHORUS   Not for ourselves,   But for the whole world were we born.   And we were born in Liverpool.   Headmaster   Not Birmingham   Miss inkley:   Nor Edinburgh.   BOYS   Not Manchester   Shanty   Or Solihull.   BOYS and CHORUS   Being born where you were born   BOYS and WOMEN'S CHORUS   Carries with it certain responsi...   MEN   Carries with it certain responsi...   MISS INKLEY and HEADMASTER   Carries with it certain responsibilities.	-0.947	0.107	0.802	0.091	n
M	Angry	What the hell gives the right to tell me what to do with my life?   Especially when you made a mess of every chance you had to success.   Look at you... Just look at you.   I said I'm angry just looking at you.   I'm sick and tired of sitting back listening to all of your clap-trap   If you could get me to take the rap I guarantee   You'd leave me with a backslap.   Push me to the left, push me to the right try to take me out of the way   Ven if you kick me off the edge of the world,   You're still going to hear me say...   When the hell gives you the right to tell me what to do with my life?   Especially when you made a mess of every chance you have to success.   Look at you. Oh look at you.   I said I'm angry just looking at you.   Shouting down again mahama. Shouting down again.   Shouting down agaun mahama. Shouting down again.   I can't begin to tell you all the reasons why you're making me crazy.   I've got so many answers like you're stupid, like you're crooked, like you're lazy.   Hit me with your left, hit me with your right.   Hit me from the top to the toe.   Even when you chew me up and spit me out,   I'm still going to want to know.	-0.9392	0.137	0.773	0.09	n
M	Highway	Running through the night time, baby, looking like a wreck   Got too many highlights with a lovelight on her neck   Lookin' for some paydirt that'll maybe come around   Everybody wonderin' what's that sound?   Highway do ya, do ya, do ya move me do ya, do ya, do ya   Highway do ya, do ya, do ya always do ya, do ya, do ya   Standing in the doorway of a little black shop   Lifting off the penknife and a-ringin' up the cops   Running down the street, everybody sees   What she's got is what she needs and what she loves is me.   Highway do ya, do ya, do ya baby do ya, do ya, do ya   Highway do ya, do ya, do ya play dead do ya, do ya, do ya   Highway do ya, do ya, do ya who's making you follow do ya, do ya, do ya   Highway do ya, do ya, do ya lose me in the hollow do ya, do ya, do ya.   Lose me tomorrow   Every night and every hour   Take me higher every day   Move me, baby, move me   Everybody wonders why you're lookin' such a wreck, yeah.   Down the highway do ya, do ya, do ya liftin' up your penknife do ya, do ya, do ya   Highway do ya, do ya, do ya lookin' for some paydirt do ya, do ya, do ya   Everybody wonders why you didn't mind the store   They don't know what you're sellin', no   Somebody can move me, oh, I feel it shakin'.   Words are gettin' higher   Everybody fire   Oh, the sun is risin' again.   Words are gettin' higher   Everybody fire   Oh, the sun is risin' again.   Words are gettin' higher   Everybody fire   Oh, the sun is risin' again.   Words are gettin' higher   Everybody fire   Oh, the sun is risin' again.   Hey now, baby, what you doin', I'll be coming   Never mind the highway, I'll be runnin', runnin', runnin'.	-0.9382	0.08	0.888	0.032	n
M	Singing The Blues	Well, I never felt more like singing the blues   I never thought that I'd ever lose   Your love, why'd you do me this way?   Well, I never felt more like crying all night   Everything's wrong, and nothing is right   Without you, you got me singing the blues.   Well The moon and stars no longer shine   The dream is gone I thought was mine   There's nothing left for me to do   But cry-y-y-y over you cry over you   Well, I never felt more like running away   But why should I go 'cause I couldn't stay   Without you, you got me singing the blues.   Well, the moon and stars no longer shine   The dream is gone I thought was mine   There's nothing left for me to do   But cry-y-y-y over you cry over you   Well, I never felt more like running away   But why should I go 'cause I couldn't stay   Without you, you got me singing the blues.   Well, the moon and stars no longer shine   The dream is gone I thought was mine   There's nothing left for me to do   But cry-y-y-y over you cry over you   Well, I never felt more like running away   But why should I go 'cause I couldn't stay   Without you, hey you got me singing the blues.   You got me singing the blues   You got me singing the blues	-0.9191	0.144	0.754	0.102	n
M	Stop, You Don't Know Where She Came From	Well, you better stop   You don’t know where she came from   Take her back, Jack   You never know where she's been in between   You better stop   You don't know where she came from   She’s a bad type of woman   Take her back to New Orleans   Say, where'd you get her from   She's nothing but skin and bone   That kind of woman gonna lead you to the grave   Ain't nothing for ya, chump   Well, you can’t keep on running, running   That old woman, she just got it all   You better stop   You don't know where she came from   Take her back, Jack   You never know where she's been in between   You better stop   You don’t know what she’s carryin'   She's a bad type of woman   Take her back to New Orleans   Oh yeah, bad type of woman   Send her back to New Orleans   One more time, bad type of woman   Send her back to New Orleans	-0.9103	0.156	0.744	0.1	n
L	Dear Yoko	Even after all these years   I miss you when you're not here   I wish you were here my dear Yoko   Even if it's just a day   I miss you when you're away   I wish you were here today dear Yoko   Even if it's just one night   I miss you and it don't feel right   I wish you were here tonight dear Yoko   Even if it's just one hour   I wilt just like a fading flower   Ain't nothing in the world like our love dear Yoko   Oh Yoko   I'll never, ever, ever, ever, ever gonna let you go   Oh Yoko   I'll never, ever, ever, ever, ever gonna let you go   Even when I'm miles at sea   And nowhere is the place to be   Your spirit's watching over me dear Yoko   Even when I watch T.V.   There's a hole where you're supposed to be   There's nobody lying next to me dear Yoko   Oh Yoko   I'll never, ever, ever, ever, ever gonna let you go   Oh Yoko   I'll never, ever, ever, ever, ever gonna let you go   Even after all this time   I miss you like the sun don't shine   Without I'm a one track mind dear Yoko   After all is really said and done   The two of us are really one   The goddess really smiled upon our love dear Yoko	0.9871	0.047	0.772	0.181	p
L	Oh Yoko!	In the middle of the night   In the middle of the night I call your name   Oh Yoko, oh Yoko, my love will turn you on   In the middle of the bath   In the middle of the bath I call your name   Oh Yoko, oh Yoko, my love will turn you on   My love will turn you on   In the middle of a shave   In the middle of a shave I call your name   Oh Yoko, oh Yoko, my love will turn you on   In the middle of a dream   In the middle of a dream I call your name   Oh Yoko, oh Yoko, my love will turn you on   My love will turn you on   In the middle of a cloud   In the middle of a cloud I call your name   Oh Yoko, oh Yoko, my love will turn you on   Oh Yoko, oh Yoko, oh Yoko, oh Yoko	0.9876	0.0	0.808	0.192	p
L	Do You Want To Dance	Doo, doo, doo-doo   Well, do you wanna dance, hold my hand?   Tell me, I'm your lovin' man?   Baby, do you wanna dance, dance, dance?   Well, do you wanna dance under the moonlight?   Hug and kiss all through the night, now?   Baby, do you wanna dance, dance, dance?   Well, do you, do you, do you, do you wanna dance?   Do you, do you, do you, do you wanna dance?   Baby, do you wanna dance?   All right, all right   Look out   Look out   Do you, do you, do you, do you wanna dance? Do you wanna dance?   Do you, do you, do you, do you wanna dance?   Do you, do you, do you, do you wanna dance?   Well, do you wanna dance, make romance?   Kiss and squeeze, yeah, yeah?   Do you wanna dance?   All right, now, dance   Well!   Beep! Beep!   Wow!   Well, do you, do you, do you, do you wanna dance?   Do you, do you, do you, do you wanna dance?   Baby, do you wanna dance?	0.9877	0.0	0.797	0.203	p
L	Only You	Only you can make this world seem right   Only you can make the darkness bright   Only you and you alone can thrill me like you do   And fill my heart with love for only you   Only you can make this change in me   For it's true, you are my destiny   When you hold my hand, I understand the magic that you do   You're my dream come true   My one and only you, only you   Only you and you alone can thrill me like you do   And fill my heart with love for only you   Only you can make this change in me   For it's true, you are my destiny   When you hold my hand, I understand the magic that you do do   You're my dream come true   My one, my one, my one and only you   Only you, only you, only you   Only you, only you, only you   Only you, only you, only you	0.9881	0.032	0.736	0.232	p
L	Money	The best things in life are free   But you can tell me 'bout the birds and bees.   Now gimme money that's what I want   That's what I want that's what I want   That's what I want, ye-ye-yeh,   That's what I want.   Money don't get everything it's true.   What it don't get I can't use.   So gimme money that's what I want   A little money that's what I want   That's what I want, ye-ye-yeh,   That's what I want.   Yeh gimme money that's what I want   A little money that's what I want   That's what I want that's what I want   So gimme money that's what I want   That's what I want, ye-ye-yeh,   That's what I want.   Your lovin' give me a thrill   But your lovin' don't pay my bill.   Now gimme money that's what I want   That's what I want that's what I want   That's what I want, ye-ye-yeh,   That's what I want.   Money don't get everything it's true.   What it don't get I can't use.   So gimme money that's what I want   A little money that's what I want   That's what I want, ye-ye-yeh,   That's what I want.   Yeh gimme money that's what I want   A little money that's what I want   That's what I want that's what I want   So gimme money that's what I want   That's what I want, ye-ye-yeh,   That's what I want	0.9884	0.0	0.748	0.252	p
L	Real Love	All my little plans and schemes   Gone like some forgotten dream   Seems like all I really was doing   Was waiting for you   Just like little girls and boys   Playing with their little toys   Seems like all we really were doing   Was waiting for love   No need to be alone   No need to be alone   It's real love   Yes, it's real   Yes, it's real love   It's real   From this moment on I know   Exactly where my life will go   Seems like all I really was doing   Was waiting for love   Thought I'd been in love before   But in my heart I wanted more   Seems like all I really was doing   Was waiting for you   No need to be afraid   No need to be afraid   It's real love   Yes, it's real   Yes, it's real love   It's real	0.9885	0.077	0.631	0.293	p
L	Look At Me	Look at me   Who am I supposed to be?   Who am I supposed to be?   Look at me   What am I supposed to be?   What am I supposed to be?   Look at me   Oh my love, oh my love   Here I am   What am I supposed to do?   What am I supposed to do?   Here I am   What can I do for you?   What can I do for you?   Here I am   Oh my love, oh my love   Please look at me, oh please look at me, my love   Here I am   Oh my love   Who am I?   Nobody knows but me   Nobody knows but me   Who am I?   Nobody else can see   Just you and me   Who are we?   Oh my love, oh my love, oh my love	0.9893	0.0	0.76	0.24	p
L	I'm The Greatest	" When I was a little boy   Way back home in Liverpool   My mama told me, I was great   Then when I was a teenager   I knew that I had got something going   My baby told me I was great   Now I'm a man   A woman took me by the hand   And she told me I was great   I was in the greatest show on earth   For what it was worth   And now I'm thirty-two   And all I wanna do, is boogaloo!   Hey!   Yeah, I look at myself in the mirror   I see my wife and kids   And they tell me you're great   Now let me introduce to you   The one and only Billy Shears   Ah, she's thirty-two   And all she wants to do, is boogaloo!   Hey!   Hey, hey, hey, hear them say   My mama told me I was great   Ho! Ho! Ho!   -""Let's go again, go straight from thee top   Okay, oh, that's okay... bang... two, three, four!"""	0.9903	0.0	0.781	0.219	p
L	Move Over Ms. L.	"One, two, a one, two, three, four   Well, now the underground and overjoyed, they come on just the same   Don't wanna get too real, man, they just wanna play the game   I guess ya knew it all along, we were just singing in the rain   Can't get hipped to the down trip, the ship is sailing yet   And if it sinks, you know that all we really get is wet   Move over Ms. L.   You know I wish you well   Move over Ms. L.   You know I wish you well   Move over Ms. L.   Well, now to err is something human and forgiving so divine   I'll forgive your trespasses if you forgive me mine   Life's a deal, you knew it, when you signed the dotted line   They nail you to the paper, put a rope around your neck   And so we sing along, the boy stood on the burning deck   Move over Ms. L.   You know I wish you well   Move over Ms. L.   You know I wish you well   Move over Ms. L.   Well now, momma poppa told me, ""Son, you better watch your head""   Your head is fulla snakes, boy, you're better red than dead   They're starving back in China, boy, that's what they always said   Can't get head in the head shop, yer jeans are fulla crap   You're full of beans, you're in your teens, you lost your momma's road map   Move over Ms. L.   You know I wish you well   Move over Ms. L.   You know I wish you well   Move over Ms. L.   Hey hey"	0.9906	0.039	0.766	0.194	p
L	Working Class Hero	As soon as you're born, they make you feel small   By giving you no time instead of it all   Till the pain is so big you feel nothing at all   A working class hero is something to be   A working class hero is something to be   They hurt you at home and they hit you at school   They hate you if you're clever and they despise a fool   Till you're so fucking crazy you can't follow their rules   A working class hero is something to be   A working class hero is something to be   When they've tortured and scared you for twenty odd years   Then they expect you to pick a career   When you can't really function, you're so full of fear   A working class hero is something to be   A working class hero is something to be   Keep you doped with religion and sex and TV   And you think you're so clever and classless and free   But you're still fucking peasants as far as I can see   A working class hero is something to be   A working class hero is something to be   There's room at the top, they are telling you still   But first you must learn how to smile as you kill   If you want to be like the folks on the hill   A working class hero is something to be   A working class hero is something to be   If you want to be a hero, well, just follow me   If you want to be a hero, well, just follow me	0.9913	0.09	0.689	0.221	p
L	Ya Ya	Well, I'm sitting in the la la   Waiting for the ya ya, uh huh   I'm sitting in the la la   Waiting for the ya ya, uh huh   It may sound funny   But I don't believe she's comin', no, no   Hey, baby, hurry   Don't make worry, no   Hey, baby, hurry   Don't make worry, uh huh huh   You know that I love you   Yes, I love you, uh huh   Well, I'm sitting in the la la   Waiting for the ya ya, uh huh   I'm sitting in the la la   Waiting for the ya ya, uh huh huh   It may sound funny   But I don't believe she's comin', no, no   Boogie down one time   Hey, baby, hurry   Don't make worry, no, no   Hey, baby, hurry   Don't make worry, no, no   You know that I love you   Always thinking of you, yeah, yeah   Hey hey hey rock	0.9913	0.06	0.665	0.275	p
L	Woman	Woman I can hardly express   My mixed emotions at my thoughtlessness   After all I'm forever in your debt   And woman I will try to express   My inner feelings and thankfulness   For showing me the meaning of success   Ooh, well, well   Doo, doo, doo, doo, doo   Ooh, well, well   Doo, doo, doo, doo, doo   Woman I know you understand   The little child inside the man   Please remember my life is in your hands   And woman hold me close to your heart   However distant don't keep us apart   After all it is written in the stars   Ooh, well, well   Doo, doo, doo, doo, doo   Ooh, well, well   Doo, doo, doo, doo, doo   Wellll   Woman please let me explain   I never meant to cause you sorrow or pain   So let me tell you again and again and again   I love you, yeah, yeah   Now and forever   I love you, yeah, yeah   Now and forever   I love you, yeah, yeah   Now and forever   I love you, yeah, yeah	0.9929	0.044	0.656	0.3	p
L	God Save Oz	One, two, three, four   Oh, God save us one and all   Oh, God save us from defeat   Oh, God save us from the war   Oh, God save us on the street   Yeah, let's fight for people's rights   Let us fight for freedom   Let us fight for Mickey Mouse   Let us fight for freedom   Oh, God save us one and all   Oh, God save us from defeat   Oh, God save us from the war   Oh, God save us on the street   Let us fight for children's right   Let us fight for freedom   Let us fight for Rupert Bear   Let us fight for freedom   Oh, God save us one and all   Oh, God save us from defeat   Oh, God save us from the war   Oh, God save us from the street   Oh, God save us from defeat   Oh, God save us from the sea   Oh, God save us from the Queen   Hey, that sounded alright!	0.994	0.18	0.412	0.408	p
L	Happy Xmas War Is Over	Happy Christmas, Kyoko   Happy Christmas, Julian   And so this is Christmas   And what have you done?   Another year over   And a new one just begun   And so this is Christmas   I hope you have fun   The near and the dear ones   The old and the young   A very merry Christmas   And a happy New Year   Let's hope it's a good one   Without any fear   And so this is Christmas War is over   For weak and for strong If you want it   For rich and the poor ones War is over   The road is so long Now   And so Happy Christmas War is over   For black and for white If you want it   For yellow and red ones War is over   Let's stop all the fight Now   A very merry Christmas   And a happy New Year   Let's hope it's a good one   Without any fear   And so this is Christmas War is over   And what have we done? If you want it   Another year over War is over   And a new one just begun Now   And so Happy Christmas War is over   We hope you have fun If you want it   The near and the dear one War is over   The old and the young Now   A very merry Christmas   And a happy New Year   Let's hope it's a good one   Without any fear   War is over if you want it   War is over now   Happy Christmas! Happy Christmas!	0.995	0.135	0.553	0.312	p
L	Mind Games	We're playing those mind games together   Pushing the barrier, planting seed   Playing the mind guerrilla   Chanting the mantra, peace on Earth   We all been playing those mind games forever   Some kinda druid dude lifting the veil   Doing the mind guerrilla   Some call it magic, the search for the grail   Love is the answer   And you know that for sure   Love is a flower   You gotta let it, you gotta let it grow   So keep on playing those mind games together   Faith in the future, out of the now   You just can't beat on those mind guerrillas   Absolute elsewhere in the stones of your mind   Yeah, we're playing those mind games forever   Projecting our images in space and in time   Yes is the answer   And you know that for sure   Yes is surrender   You gotta let it, you gotta let it go   So keep on playing those mind games together   Doing the ritual dance in the sun   Millions of mind guerrillas   Putting their soul power to the karmic wheel   Keep on playing those mind games forever   Raising the spirit of peace and love   Love   I want you to make love, not war   I know you've heard it before	0.995	0.006	0.731	0.263	p
L	Medley	"Well, it's Saturday night and I just got paid,   Fool about my money, don't try to save.   My heart says, ""go! Go! Have a time!""   'Cause it's Saturday night and, baby, I feel fine.   Gonna rip it up,   Gonna rock it up,   Gonna shake it up,   Gonna ball it up,   Gonna rock it up,   And ball the night.   I got me a date and I won't be late,   Picked her up in my eighty-eight.   Shag on down to the union hall,   When the joint starts jumpin', I'll have a ball.   Gonna rip it up,   Gonna rock it up,   Gonna shake it up,   Gonna ball it up,   Gonna rock it up,   And ball the night.   Whoa!   Well, ready, set, go man, go,   I got a girl that I love so.   And I'm ready,   Ready, ready, ted,   I'm ready,   Ready, ready, ted,   I'm ready,   Ready, ready, ted,   I'm ready, ready, ted to rock and roll.   Goin' to the corner, pick up my sweetie pie,   She's a rock and roll baby, she's the apple of my eye.   I'm ready,   Ready, ready, ted,   I'm ready,   Ready, ready, ted,   I'm ready,   Ready, ready, ted,   I'm ready, ready, ted to rock and roll"	0.9951	0.036	0.671	0.293	p
L	Rip It Up / Ready Teddy	Well, it's Saturday night, and I just got paid   Fool about my money, don't try to save   My heart says: Go! Go! Have a time   'Cause it's Saturday night and baby, I'm feelin' fine   Gonna rip it up   Gonna rock it up   Gonna shake it up   Gonna ball it up   Gonna rock it up   And ball the night   Got me a date and I don't be late   Picked her up in my eighty-eight   Shag on down to the Union hall   When the joint starts jumpin', and I'll have a ball   Gonna rip it up   Gonna rock it up   Gonna shake it up   Gonna ball it up   Gonna rock it up   And ball the night   Whoa!   Well, ready, set, go, man, go   I got a girl that I love so   And I'm ready   Ready, ready, teddy   I'm ready   Ready, ready, teddy   I'm ready   Ready, ready, teddy   I'm ready, ready, teddy, to rock and roll   Goin' to the corner, pick up my sweetie pie   She's a rock and roll baby, she's the apple of my eye   I'm ready   Ready, ready, teddy   I'm ready   Ready, ready, teddy   I'm ready   Ready, ready, teddy   I'm ready, ready, teddy, to rock and roll	0.9951	0.036	0.671	0.293	p
L	Just Because	Ah, remember this? Why, I must have been... thirteen when this came out! Or was it fourteen? Or was it twenty-two? I could have been twelve, actually.   Just because you left and said goodbye   Do you think that I will sit and cry?   Even if my heart should tell me so   Darling, I would rather let you go   Just because I want someone who's kind   With a heart as good and pure as mine   But maybe I am asking for too much   Darling, please don't ever break my heart   I know you think you're smart   Just runnin' around breakin' lovers' hearts   Just because you left and said goodbye, hey!   Do you think that I will sit and cry?   Even if my heart should tell me so   Darling, I would rather let you go   Woo-ooh hoo   It's too late, darling. You just gotta say goodbye. Why, the last time I saw you, you were wearing man's clothes. Not that I'm prejudiced, but you know. ??? But who am I to hassle you like this? I'm just gonna have to let you go. There's two basses in this. I hope you appreciate it. This is Doctor Winston O'Boogie saying goodnight from Record Plant East, New York. We hope you had a swell time. Everybody here says hi. Goodbye.   Just because you left and said goodbye   Do you think that I will sit and cry?   Even if my heart should tell me so   Darling, I would rather let you go   Ooh-ooh-hoo, goodbye   Ooh-hoo, so long   Been a long year	0.9951	0.033	0.765	0.202	p
L	Sisters, O Sisters	We lost our green land  We lost our clean air  We lost our true wisdom   And we live in despair   Sisters, O sisters   Lets stand up right now   It's never too late   To start from the start   Wisdom, O wisdom   That's what we ask for   And yes, my dear sisters   We must learn to ask   Wisdom, O wisdom   That's what we ask for   That's what we live for now   Wisdom, O wisdom   That's what we ask for   That's what we live for now   Sisters, O sisters   Let's wake up right on   It's never too late   To shout from our hearts   Freedom, O freedom   That's what we fight for   And yes, my dear sisters   We must learn to fight   Freedom, O freedom   That's what we ask for   That's what we live for now   Freedom, O freedom   That's what we ask for   That's what we live for now   Sisters, O sisters   Let's give up no more   It's never too late   To build a new world   New world, O New world   That's what we live for   And yes, my dear sisters   We must learn to live   New world, O New world   That's what we live for   That's what we must now learn to build   New world, O New world   That's what we live for   That's what we must now learn to build   New world, O New world   That's what we live for   That's what we must now learn to build   New world, O New world   That's what we live for   That's what we must learn to build	0.9953	0.053	0.722	0.225	p
L	Instant Karma! We All Shine On	Instant Karma's gonna get you   Gonna knock you 'round the head   You better get yourself together   Pretty soon you're gonna be dead   What in the world you thinking of?   Laughing in the face of love   What on Earth you tryin' to do?   It's up to you   Yeah, you   Instant Karma's gonna get you   Gonna look you right in the face   Better get yourself together, darling   Join the human race   How in the world you gonna see?   Laughin' at fools like me   Who on Earth d'you think you are   A superstar?   Well, right you are   Well, we all shine on   Like the moon and the stars and the sun   Well, we all shine on   Everyone, c'mon   Instant Karma's gonna get you   Gonna knock you off your feet   Better recognize your brothers   Everyone you meet   Why in the world are we here?   Surely not to live in pain and fear   Why on Earth are you there   When you're everywhere   Come and get your share   Well, we all shine on   Like the moons and the stars and the sun   Yeah, we all shine on   C'mon and on and on, on, on   Yeah, yeah   Alright   Uh-huh   Ah   Well, we all shine on   Like the moon and the stars and the sun   Yeah, we all shine on   On and on and on, on and on   Well, we all shine on   Like the moon and the stars and the sun   Yeah, we all shine on   Like the moons and the stars and the sun   Yeah, we all shine on   Like the moons and the stars and the sun   Yeah, we all shine on   Like the moon and the stars and the sun	0.9955	0.042	0.71	0.248	p
M	Through Our Love	We wasted time and again   On things, things we already knew   Born to do, I give my love to you   Whenever you get some time   Whenever you get some time   I'd like to roll it all   Up in a ball   And spend it with you   You've got the power of love   And love has the power to make it come true   We can go through our love   We can do things that they said were impossible   Through our love   We can do all that we want to do   We can go through our love   We can go through our love   Whenever you will be mine   Whenever you will be mine   I want to be with you   Just want to do whatever feels right   You've got the power of love   And love has the power to turn on the light   Here we go through our love   We can see things that they said were invisible   Through our love   We can see where we are going to   We're going through our love   Through our love we can learn to do things that they said were impossible   Through our love   We can be blessed with a better view   We can go through our love   We can go through our love   We can go through our love	0.998	0.011	0.675	0.314	p
M	Lucille	Lucille, please, come back where you belong.   Lucille, please, come back where you belong.   You ran off and married   Singin' such a beautiful song.   Lucille, please, don't do your sister's will, yeah!   Lucille, please, don't you do your sister's will,   You ran off and married,   But I love you still.   Well, I woke up this mornin',   Lucille was not in sight.   Asked my friends about it,   But all their lips were tight.   Lucille, please, come back where you belong.   I'm speaking to you, baby,   Singin' such a beautiful song.   Ow!   Come on, guys!   Well, I woke up this mornin',   Lucille was not in sight.   I asked my friends about it,   But all their lips were tight.   Lucille, please, come back where you belong.   I'm speaking to you, baby,   You sing such a beautiful song.   Ah, come on now, Lucille!   Well, I woke up this mornin',   Lucille was not in sight.   I asked my friends about it,   But all their lips were tight.   Lucille, please, come back where you belong, ho!   Yeah, I'm speaking to you, baby,   Sing such a beautiful song.   Yeah!   Well, Lucille, please, don't do your sister's will, yeah!   Oh! Lucille, please, don't you do your sister's will,   Well, lil', you ran off and married,   But I love you still.   Ho!	0.998	0.0	0.678	0.322	p
M	Winedark Open Sea	Open up your heart   If you want to set me free   Full of love, your love   Sailing on a winedark open sea   Sailing on a winedark open sea   Lighten up, my heart   Leave it to the evening breeze   Give me love, your love   Sailing on a winedark open sea   Sailing on a winedark open sea   Oh my, I feel love for you   Spreading through my body I remember now   We can be so loving   I feel love for you now   I feel love for you right now   Loosen up, my heart   Let me have some time to be   With a love, wow my love   Sailing on a winedark open sea   Sailing on a winedark open sea   Oh my, I feel love for you   Spreading through my body I remember now   We can be so loving   I feel love for you now   I feel love for you right now   Sailing on a winedark open sea   Sailing on a winedark open sea   Sailing on a winedark open sea   Sailing on a winedark open sea   Oh, I feel love for you now   I feel love for you right now   I feel love for you now   Baby I feel love for you right now   We're sailing on a winedark open sea   Sailing on a winedark open sea...	0.9982	0.004	0.688	0.308	p
M	Peace In The Neighbourhood	Best thing I ever saw   Was a man who loved his wife   In a place where things were good   I felt peace in the neighbourhood   That feeling in the air   Something was definitely there   It was a time when things were good   I felt peace in the neighbourhood   I was there, I really was.   At the centre of a love vibration.   People sharing with their friend.   Helping each other out   Peace in the neighbourhood   Helping each other out   Then I woke up from my dream   To see things as they really are   People struggling to survive   How can peace hope to stay alive?   Well I was there... I felt so good   At the centre of a love vibration.   People caring for their world   Helping each other out.   Peace in the neighbourhood   Helping each other out.   Peace in the neighbourhood   Helping each other out.   Best thing I ever saw   I saw a man who loved his wife.   Peace in the neighbourhood   Helping each other out.   Peace in the neighbourhood.	0.9982	0.013	0.571	0.416	p
