Album	Year	Song	Main composer	L	M	H	S	NumAuth	OtherAuth	Singer	Lyrics	compound	neg	neu	pos	Label
Songs not released on LP	1968	Hey Jude	McCartney	0	1	0	0	1	0	McCartney	  Hey Jude, don't make it bad Take a sad song and make it better Remember to let her into your heart Then you can start to make it better    Hey Jude, don't be afraid You were made to go out and get her The minute you let her under your skin Then you begin to make it better    And anytime you feel the pain, hey Jude, refrain Don't carry the world upon your shoulders For well you know that it's a fool who plays it cool By making his world a little colder Na na na na na na na na na na    Hey Jude, don't let me down You have found her, now go and get her (Let it out and let it in) Remember (Hey Jude) to let her into your heart Then you can start to make it better    So let it out and let it in, hey Jude, begin You're waiting for someone to perform with And don't you know that it's just you, hey Jude, you'll do The movement you need is on your shoulder Na na na na na na na na na yeah    Hey Jude, don't make it bad Take a sad song and make it better Remember to let her under your skin Then you'll begin to make it (Whoa, fucking hell!) Better better better better better better, oh    Yeah yeah yeah yeah yeah yeah yeah Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude (Jude Judy Judy Judy Judy Judy owwwww wowww) Naa na na na na na na (Na na na), na na na na, hey Jude (Jude Jude Jude Jude Jude) Naa na na na na na na (Yeah yeah yeah), na na na na, hey Jude (You know you can make, Jude Jude, You're not gonna break it) Naa na (Don't make it bad Jude) na na na na na (Take a sad song and make it better), na na na na, hey Jude Hey Jude, hey Jude wowwwwww Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude Jude Jude Jude Jude Jude Jude Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude (Na na na na na na na na na na na na) Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude Naa na na na na na na (Make it Jude), na na na na, hey Jude (Yeah yeah yeah yeah yeah yeah yeah) Naa na na na na na na, na na na na, hey Jude (Go listen to ya ma ma ma ma ma ma ma ma) Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude	0.9953	0.033	0.819	0.147	p
The Beatles	1968	Revolution 9	Lennon	1	0	0	0	1	0	"""Instrumental"""	  ...bottle of claret for you if I'd realised. I'd forgotten all about it George, I'm sorry Well do next time Will you forgive me? Mmmyes Cheeky bitch    Number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number    Then there's this Welsh Rarebit wearing some brown underpants About the shortage of grain in Hertfordshire Everyone of them knew that as time went by They'd get a little bit older and a little bit slower but It's all the same thing, in this case manufactured by someone who's always Umpteen time your father's giving it diddly-i-dee District was leaving, intended to pay for    Number 9, number 9  Who's to know? Who was to know?    Number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9    I sustained nothing worse than Also for example Whatever you're doing A business deal falls through I informed him on the third night When fortune gives    Number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9    Right! Right! Right, right, right, right! Right! Right!    Number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9    I've missed all of that It makes me a few days late Compared with, like, wow! And weird stuff like that Taking our sides sometimes Floral bark Rogue doctors have brought this specimen  I have nobody's short-cuts, aha    Number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9  With the situation  They are standing still  Upon the telegram  Ooh ooh    Number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9  Ooh    A man without terrors from beard to false As the headmaster reported to me My son he really can try as they do to find function Tell what he was saying, and his voice was low and his hive high And his eyes were low    Alright!    Number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9    So the wife called me and we'd better go to see a surgeon Or whatever to price it yellow underclothes So, any road, we went to see the dentist instead Who gave her a pair of teeth which wasn't any good at all So instead I'd marry, join the bloody navy and went to sea  Block that kick, block that kick!  In my broken chair, my wings are broken and so is my hair I'm not in the mood for whirling  Um da Aaah    How? Dogs for dogging, hands for clapping Birds for birding and fish for fishing Them for themming and when for whimming  Only to find the night-watchman Unaware of his presence in the building  Onion soup    Number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9  Industrial output Financial imbalance  Thrusting it between his shoulder blades  The Watusi The Twist  El Dorado  Take this brother, may it serve you well  Maybe it's nothing Aaah Maybe it's nothing What? What? Oh    Maybe even then Exposure could be difficult thing It's quick like rush for peace is Because it's so much It was like being naked If you become naked    Hold that line, hold that line! Block that kick, block that kick!	0.9955	0.074	0.664	0.262	p
Please Please Me	1963	Please Please Me	Lennon	1	0	0	0	1	0	Lennon/McCartney	  Last night, I said these words to my girl I know you never even try, girl    Come on (Come on), come on (Come on) Come on (Come on), come on (Come on) Please please me, whoa yeah, like I please you    You don't need me to show the way, love Why do I always have to say, love?    Come on (Come on), Come on (Come on) Come on (Come on), Come on (Come on) Please please me, whoa yeah, like I please you    I don't want to sound complaining But you know there's always rain in my heart (in my heart) I do all the pleasing with you it's so hard to reason With you, whoa yeah, why do you make me blue?    Last night, I said these words to my girl I know you never even try girl    Come on (Come on) Come on (Come on) Come on (Come on) Come on (Come on) Please, please me, whoa yeah, like I please you Me, whoa yeah, like I please you Me, whoa yeah, like I please you Me, whoa yeah, like I please you	0.9957	0.021	0.669	0.31	p
The Beatles	1968	Dear Prudence	Lennon	1	0	0	0	1	0	Lennon	     Dear Prudence, won't you come out to play? Dear Prudence, greet the brand new day, hey The sun is up, the sky is blue It's beautiful, and so are you Dear Prudence, won't you come out to play?    Dear Prudence, open up your eyes Dear Prudence, see the sunny skies The wind is low, the birds will sing That you are part of everything Dear Prudence, won't you open up your eyes?    Look around, round, round Look around, round, round Look around    Dear Prudence, let me see you smile Dear Prudence, like a little child The clouds will be a daisy chain So let me see you smile again Dear Prudence, won't you let me see you smile?    Dear Prudence, won't you come out to play? Dear Prudence, greet the brand new day The sun is up, the sky is blue It's beautiful, and so are you Dear Prudence, won't you come out to play?	0.9957	0.011	0.65	0.34	p
A Hard Day's Night	1964	I Should Have Known Better	Lennon	1	0	0	0	1	0	Lennon	  I should have known better with a girl like you That I would love everything that you do And I do, hey, hey, hey, and I do    Whoa, oh, I never realized what a kiss could be This could only happen to me Can't you see, can't you see    That when I tell you that I love you, oh You're going to say you love me too, oh And when I ask you to be mine You're gonna say you love me too    So I should have realized a lot of things before If this is love you've got to give me more Give me more, hey hey hey, give me more       Whoa, oh, I never realized what a kiss could be This could only happen to me Can't you see, can't you see    That when I tell you that I love you, oh You're going to say you love me too, oh And when I ask you to be mine You're going to say you love me too    You love me too, you love me too You love me too	0.9958	0.0	0.744	0.256	p
The Beatles	1968	Helter Skelter	McCartney	0	1	0	0	1	0	McCartney	  When I get to the bottom, I go back to the top of the slide Where I stop, and I turn, and I go for a ride 'Til I get to the bottom, and I see you again! Yeah, yeah, yeah!    Well, do you, don't you want me to love you? I'm coming down fast, but I'm miles above you Tell me, tell me, tell me, come on, tell me the answer! Well, you may be a lover, but you ain't no dancer    Now, Helter skelter Helter skelter Helter skelter Yeah Woo!    Oh, will you, won't you want me to make you? I'm coming down fast, but don't let me break you Tell me, tell me, tell me the answer! You may be a lover, but you ain't no dancer    Look out! Helter skelter Helter skelter Helter skelter Ooh!    Look out! 'Cause here she comes    When I get to the bottom, I go back to the top of the slide And I stop, and I turn, and I go for a ride And I get to the bottom, and I see you again! Yeah, yeah, yeah!    Well, do you, don't you want me to make you? I'm coming down fast, but don't let me break you Tell me, tell me, tell me your answer! You may be a lover, but you ain't no dancer    Look out! Helter skelter Helter skelter Helter skelter    Well look out! Helter skelter! She's coming down fast! Yes, she is! Yes, she is Coming down fast Oh, yeah, Helter Skelter Wooh!       I got blisters on my fingers!	0.9959	0.026	0.748	0.226	p
Songs not released on LP	1964	I Feel Fine	Lennon	1	0	0	0	1	0	Lennon	  Baby's good to me, you know She's happy as can be, you know She said so    I'm in love with her and I feel fine    Baby says she's mine, you know She tells me all the time, you know She said so    I'm in love with her and I feel fine    I'm so glad that she's my little girl She's so glad, she's telling all the world    That her baby buys her things, you know He buys her diamond rings, you know She said so    She's in love with me and I feel fine, mmm       Baby says she's mine, you know She tells me all the time, you know She said so    I'm in love with her and I feel fine    I'm so glad that she's my little girl She's so glad, she's telling all the world    That her baby buys her things, you know He buys her diamond rings, you know She said so    She's in love with me and I feel fine She's in love with me and I feel fine, mmm	0.996	0.0	0.71	0.29	p
Rubber Soul	1965	Drive My Car	McCartney	0	1	0	0	1	0	Lennon/McCartney	  Asked a girl what she wanted to be She said baby, can't you see I wanna be famous, a star on the screen But you can do something in between    Baby, you can drive my car Yes, I'm gonna be a star Baby, you can drive my car And maybe I'll love you    I told that girl that my prospects were good And she said baby, it's understood Working for peanuts is all very fine But I can show you a better time    Baby, you can drive my car Yes, I'm gonna be a star Baby, you can drive my car And maybe I'll love you  Beep beep'm beep beep yeah!       Baby, you can drive my car Yes, I'm gonna be a star Baby, you can drive my car And maybe I'll love you    I told that girl I can start right away When she said listen, babe, I got something to say I got no car and it's breakin' my heart But I've found a driver and that's a start    Baby, you can drive my car Yes, I'm gonna be a star Baby, you can drive my car And maybe I'll love you    Beep beep'm beep beep, yeah! Beep beep'm beep beep, yeah! Beep beep'm beep beep, yeah!	0.9963	0.011	0.745	0.244	p
The Beatles	1968	Birthday	McCartney	0	1	0	0	1	0	Lennon/McCartney	  They say it's your birthday Well, it's my birthday too, yeah They say it's your birthday We're gonna have a good time I'm glad it's your birthday Happy birthday to you    One, two, three, four, five, six, seven, eight!    Yes, we're going to a party, party Yes, we're going to a party, party Yes, we're going to a party, party    I would like you to dance (Birthday) Take a cha-cha-cha-chance (Birthday) I would like you to dance (Birthday) Dance, yeah, woo, come on (Come on)       I would like you to dance (Birthday) Take a cha-cha-cha-chance (Birthday) I would like you to dance (Birthday) Woo, dance! Dance!    They say it's your birthday Well, it's my birthday too, yeah They say it's your birthday We're gonna have a good time I'm glad it's your birthday Happy birthday to you	0.9964	0.0	0.609	0.391	p
The Beatles	1968	Sexy Sadie	Lennon	1	0	0	0	1	0	Lennon	  Sexy Sadie, what have you done? You made a fool of everyone You made a fool of everyone Sexy Sadie, oh, what have you done?    Sexy Sadie, you broke the rules You laid it down for all to see You laid it down for all to see Sexy Sadie, oh, you broke the rules    One sunny day, the world was waiting for a lover (Sexy Sadie) She came along to turn on everyone Sexy Sadie, the greatest of them all (Sexy Sadie, she's the greatest)    Sexy Sadie, how did you know? The world was waiting just for you The world was waiting just for you Sexy Sadie, oh, how did you know?    Sexy Sadie, you'll get yours yet However big you think you are However big you think you are Sexy Sadie, oh, you'll get yours yet    We gave her everything we owned just to sit at her table (Sexy Sadie) Just a smile would lighten everything Sexy Sadie, she's the latest and the greatest of them all    Ooh woo She made a fool of everyone Sexy Sadie  However big you think you are Sexy Sadie	0.9964	0.057	0.636	0.307	p
