Composer	Song	Lyrics	compound	neg	neu	pos
L	We're All Water	There may not be much difference   Between Chairman Mao and Richard Nixon   If we strip them naked   There may not be much difference   Between Marilyn Monroe and Lenny Bruce   If we check their coffins   There may not be much difference   Between White House and Hall of People   If we count their windows   There may not be much difference   Between Raquel Welch and Jerry Rubin   If we hear their heartbeat   We're all water from different rivers   That's why it's so easy to meet   We're all water in this vast, vast ocean   Someday we'll evaporate together   There may not be much difference   Between Eldrige Cleaver and Queen of England   If we bottle their tears   There may not be much difference   Between Manson and the Pope   If we press their smile   There may not be much difference   Between Rockefeller and you   If we hear you sing   There may not be much difference   Between you and me   If we show our dreams   We're all water from different rivers   That's why it's so easy to meet   We're all water in this vast, vast ocean   Someday we'll evaporate together   What's the difference?   What's the difference?   There's no difference   There's no difference   What's the difference?	0.8369	0.03	0.907	0.063
L	Well... Baby Please Don't Go	You know I love you, baby, please don't go, well, well   You know I love you baby, please don't go   Oh, you know I love you, honey child   There's nothing that I wouldn't do for you right now   You know I love you, baby, please don't go, well, well   You know I need you, honey, please don't go, well, well   You know I love you baby, please don't go   And you know I love you, honey child   There's nothing that I wouldn't do for you right now   You know I love you, baby, please don't go   You know I want you, honey, please don't go, well   You know I want you baby, please don't go   You know I love you, honey child   There's nothing that I wouldn't do for you right now   You know I love you, baby, please don't go, well   You know I want you, honey, please don't go   You know I want you baby, please don't go   You know I want you, honey child   There's nothing that I wouldn't do for you right now   You know I love you, baby, please don't go, well	0.9957	0.067	0.62	0.313
L	Jamrag	Say please!   Please!   Please!   Say Please!   We take turns conducting   Okay	0.8825	0.0	0.328	0.672
L	Scumbag	"Scumbag, scumbag,   Scumbag, scumbag.   Scumbag, yeah! Scumbag,   Scumbag, scumbag, ho!   Scumbag, scumbag,   Scumbag, scumbag.   Scumbag, scumbag,   Scumbag, scumbag.   Scumbag, scumbag,   Scumbag, scumbag.   Scumbag, scumbag,   Scumbag, scumbag.   Scumbag, scumbag,   Scumbag.   Scumbag, scumbag, scumbag.   Scumbag.   Scumbag, scumbag,   Scumbag, scumbag.   Scum, scum, scumbag,   Scumbag, scumbag, scumbag, scumbag,   Scumbag, scumbag, scumbag, scumbag.   -""Hey, listen! I don't know whether you can tell what the   Words are to this song but there's only two of them   And I'd like to have you sing along 'cause it's real easy.   Anybody who comes to the fillmore east can sing this song.   The name of the song is 'scumbag'.   Ok? And all you gotta do is sing 'scumbag'.   Right on, brothers and sister let's hear it for the 'scumbag'!""   Scumbag! Scumbag! Scumbag! Scumbag! Scumbag!   Scumbag! Scumbag! Scumbag! Scumbag!   Scumbag, scumbag, scumbag, scumbag, scumbag,   Scumbag, scumbag, scumbag, scumbag, scumbag,   Scumbag, scumbag, scumbag, scumbag, scumbag,   Scum,   Scumbag, baby, scumbag,   Scumbag.   Scumbag, baby,   Scumbag, baby, scumbag, baby   Scumbag, baby, scumbag, baby   Scumbag, scumbag, baby   Scumbag, scumbag, baby   Scumbag, oh yeah, scumbag   Scumbag scumbag   Scumbag scumbag who's scumbag?   Hey, scumbag, scumbag   Scumbag scumbag   Scumbag scumbag   Scumbag, scumbag,   Scum, uh!   Scumbag,   Scumbag,   Scumbag scumbag   Scumbag,   Scumbag,   Scumbag,   Scumbag.   Oh, oh, oh, yeah"	-0.9999	0.824	0.151	0.025
L	Au	Good night!   Good night, thank you!   Thank you   We'd like to thank Frank for having us on here   Yeah, he's great, isn't he? He's the greatest	0.9773	0.0	0.387	0.613
L	Mind Games	We're playing those mind games together   Pushing the barrier, planting seed   Playing the mind guerrilla   Chanting the mantra, peace on Earth   We all been playing those mind games forever   Some kinda druid dude lifting the veil   Doing the mind guerrilla   Some call it magic, the search for the grail   Love is the answer   And you know that for sure   Love is a flower   You gotta let it, you gotta let it grow   So keep on playing those mind games together   Faith in the future, out of the now   You just can't beat on those mind guerrillas   Absolute elsewhere in the stones of your mind   Yeah, we're playing those mind games forever   Projecting our images in space and in time   Yes is the answer   And you know that for sure   Yes is surrender   You gotta let it, you gotta let it go   So keep on playing those mind games together   Doing the ritual dance in the sun   Millions of mind guerrillas   Putting their soul power to the karmic wheel   Keep on playing those mind games forever   Raising the spirit of peace and love   Love   I want you to make love, not war   I know you've heard it before	0.995	0.006	0.731	0.263
L	Tight A$	Just as tight a$ you can make it   Hard and slow ain't hard enough   Just tight a$ you can shake it, girl   Get it on and do your stuff   Tight a$ you can get it   Tight a$ got it made   Uptight's alright but if ya can't stand the heat   You better get back in the shade   Just tight a$ an Indian rope trick   Long and tough ain't hard enough   Just as tight a$ a dope fiend's fix my friend   Get it up and do your stuff   Tight a$ you can boogie   Tight a$ got it made   Uptight alright's alright but if ya can't stand the heat   You better get back in the shade   Well tight a$ got me concerned   Tight a$ got me laid   Tight a$ strut your stuff so tough   Just sweating in the midnight shade...	0.8991	0.073	0.791	0.137
L	Aisumasen I'm Sorry	When I'm down, really yin   And I don't know what I'm doing   Aisumasen, aisumasen Yoko   All I had to do was call your name   All I had to do was call your name   And when I hurt you and cause you pain   Darlin' I promise I won't do it again   Aisumasen, aisumasen Yoko   It's hard enough I know just to feel your own pain   It's hard enough I know to feel, feel your own pain   All that I know is just what you tell me   All that I know is just what you show me   When I'm down, real sanpaku   And I don't know what to do   Aisumasen, aisumasen Yoko san   All I had to do was call your name   Yes, all I had to do was call your name	-0.8779	0.113	0.853	0.035
L	One Day At A Time	You are my weakness   You are my strength   Nothing I have in the world   Makes better sense   'Cause I'm the fish and you're the sea.   When we're together   Or when we're apart   There's never a space in between   The beat of our hearts   'Cause I'm the apple and you're the tree.   One day a time is all we do   One day at a time is good for you   Yeah you yeah you yeah you.   You are my woman   I am your man   Nothing else matters at all,   Now I understand   That I'm the door and you're the key.   And every morning   I wake in your smile   Feeling your breath on my face   And in the love in your eyes   'Cause you're the honey and I'm the bee.   One day at a time is all we do   One day at a time is good for us two   Yeah us two yeah us two yeah you.	0.9786	0.022	0.789	0.189
L	Bring On The Lucie Freda Peeple	All right Boys, this is it, over the hill   We don't care what flag you're waving   We don't even wanna know your name   We don't care where you're from or where you're going   All we know is that you came   You're making all our decisions   We have just one request of you   That while you're thinking things over   It's something you just better do   Free the people now   Do it, do it, do it now   Well, we were caught with our hands in the air   Don't despair paranoia is everywhere   We can shake it with love when we're scared   So let's shout it aloud like a prayer   Free the people now   Do it, do it, do it now   We understand your paranoia   But we don't want to play your game   You think you're cool and know what you are doing   666 is your name   So while you're jerking off each other   You better bear this thought in mind   Your time is up you better know it   But maybe you don't read the signs   Free the people now   Do it, do it, do it now   Well you were caught with your hands in the kill   And you still got to swallow your pill   As you slip and you slide down the hill   On the blood of the people you killed   Free the people now   Stop the killing!   Do it, do it, do it now	0.1225	0.122	0.744	0.134
L	Intuition	My intentions are good, I use my intuition   It takes me for a ride   But I never understood other people's superstitions   It seemed like suicide   As I play the game of life   I try to make it better each and every day   And when I struggle in the night   The magic of the music seems to light the way   Ah, Intuition takes me there   Intuition takes me everywhere   Well my instincts are fine   I had to learn to use them in order to survive   And time after time confirmed an old suspicion   It's good to be alive   And when I'm deep down and out and lose communication   With nothing left to say   It's then I realize it's only a condition   Of seeing things that way   Ah, Intuition takes me there   Intuition takes me anywhere   Takes me anywhere, alright   Ah, Intuition takes me there   Intuition takes me there   Intuition takes me there   Intuition takes me there   Intuition takes me there   Intuition takes me there	0.8225	0.084	0.778	0.139
L	Out The Blue	Out the blue you came to me   And blew away life's misery   Out the blue life's energy   Out the blue you came to me   Everyday I thank the Lord and Lady   For the way that you came to me   Anyway it had to be two minds one destiny   Out the blue you came to me   And blew away life's misery   Out the blue life's energy   Out the blue you came to me   All my life's been a long slow knife   I was born just to get to you   Anyway I survived long enough to make you my wife   Out the blue you came to me   And blew away life's misery   Out the blue life's energy   Out the blue you came to me   Like a U.F.O. you came to me   And blew away life's misery   Out the blue life's energy   Out the blue you came to me	-0.2732	0.089	0.811	0.1
L	Only People	Only people know just how to talk to people   Only people know just how to change the world   Only people realize the power of people   Well, a million heads are better than one   So come on, get it on!   Well I know how we tried and the millions of tears that we cried   Now we are hipper we been through the trip   And we can't be denied with woman and man side by side   Make no mistake it's our future we're making   Bake the cake and eat it too!   We don't want no pig brother scene!   Only people know just how to talk to people   Only people know just how to change the world   Only people realize the power of people   Well, a million heads are better than one   So come on, get it on!   We'll it's long overdue there ain't nothing better to do   Now we are hipper we been through the trip   We can fly right on through, there's nothing on earth we can't do   Fish or cut bait it's our future we're making   All together now pull the chain   We don't want no pig brother scene!   Only people know just how to talk to people   Only people know just how to change the world   Repeat three more times	0.9258	0.04	0.858	0.103
L	I Know	The years have passed so quickly   One thing I've understood   I am only learning   To tell the trees from wood   I know what's coming down   And I know where it's coming from   And I know and I'm sorry yes I am   But I never could speak my mind   And I know just how you feel   And I know now what I have done   And I know and I'm guilty   But I never could speak my mind   I know what I was missing   But now my eyes can see   I put myself in your place   As you did for me   Today I love you more than yesterday   Right now I love you more right now   Now I know what's coming down   I can feel where it's coming from   And I know it's getting better all the time   As we share in each other's minds	0.9377	0.047	0.829	0.124
L	You Are Here	From Liverpool to Tokyo   What a way to go   From distant lands one woman one man   Let the four winds blow   Three thousand miles over the ocean   Three thousand light years from the land of the rising sun   Love has opened up my eyes   Love has blown right through   Wherever you are, you are here   Wherever you are, you are here   Three thousand miles over the ocean   Three thousand light years from the land of the surprising sun   Well now east is east and west is west   The twain shall meet   East is west and west is east   Let it be complete   Three thousand miles over the ocean   Three thousand light years from the land of the morning star	0.9118	0.0	0.901	0.099
L	Meat City	Well I been Meat City to see for myself   Well I been Meat City to see for myself   Been Meat City, been Meat...   Just got to give me some rock 'n roll   People were dancing like there's no tomorrow   Meat City   Fingerlickin chickinpickin Meat City shookdown U.S.A.   Pig Meat City   Well I been the mountain to see for myself   Well I been the mountain to see for myself   Been the mountain, been the...   Just got to give me some rock 'n roll   Snake doctors shakin like there's no tomorrow   Freak City   Chickinsuckin mothertruckin Meat City shookdown U.S.A.   Pig Meat City   Well I'm gonna China to see for myself   Well I'm gonna China to see for myself   Gonna China gonna ...   Just got to give me some rock 'n roll   People were jumping like there's no tomorrow   Meat City   Fingerlickin chickinpickin Meat City shookdown U.S.A.   Pig Meat City   Well I'm gonna China   Yes I'm gonna China   Well I'm gonna China   Yes I'm gonna China   I'm gonna China   Yes I'm gonna China   Alright	0.9756	0.034	0.778	0.188
L	Going Down On Love	Got to get down, down on my knees   Got to get down, down on my knees   Going down on love   Going down on love   Going down, going down, going down   When the real thing goes wrong   And you can't get it on   And your love she has gone   And you got to carry on   And you shoot out the light   Ain't coming home for the night   You know you got to, got to, got to pay the price   Somebody please, please help me   You know I'm drowning in the sea of hatred   Got to get down, down on my knees   Got to get down, down on my knees   Going down on love   Going down on love   Going down, going down, going down   Something precious and rare   Disappears in thin air   And it seems so unfair   Nothing doin' nowhere   Well you burn all your boats   And you sow your wild oats   Well you know, you know, you know the price is right!   Got to get down, down on my knees   Got to get down, down on my knees   Got to get down, down on my knees   Got to get down, down on my knees	0.9612	0.076	0.767	0.157
L	Old Dirt Road	Ain't no people on the old dirt road   No more weather on the old dirt road   It's better than a mudslide mamma when the dry spell come, yeah   Oh oh oh old dirt road   Ain't no difference on the old dirt road   Tarred and feathered on the old dirt road   Trying to shovel smoke with a pitchfork in the wind, yeah yeah yeah   Breezing through the deadwood on a hot summer day   I saw a human being lazybonin' out in the hay   I said uh, hey Mr. Human can ya rainmaker too?   He said I guess it's O.K. ya know the only thing we need is water   Cool, clear water, water   Ain't no people on the old dirt road   No more weather on the old dirt road   Better than a mudslide mamma when the morning comes, yeah   Oh oh oh oh old dirt road   Keep on keeping on   Keep on keeping on   So long, so long   Bye bye	0.4145	0.126	0.727	0.146
L	What You Got	Don't wanna be a drag, everybody gotta bag   I know you know, 'bout the emperor's clothes   You don't know what you got, until you lose it   You don't know what you got, until you lose it   You don't know what you got, until you lose it   Oh baby, baby, baby gimme one more chance   Well it's Saturday night and I just gotta rip it up   Sunday morning I just gotta give it up   Come Monday momma and I just gotta run away   You know it's such a drag to face another day   You don't know what you got, until you lose it   You don't know what you got, until you lose it   You don't know what you got, until you lose it   Oh baby, baby, baby gimme one more chance   You know the more it change, the more it stays the same   You gotta hang on in, you gotta cut the string   You don't know what you got, until you lose it   You don't know what you got, until you lose it   You don't know, you don't know what you got, until you lose it   Oh baby, baby, baby gimme one more chance	-0.958	0.14	0.818	0.043
L	Bless You	Bless you wherever you are   Windswept child on a shooting star   Restless Spirits depart   Still we're deep in each other's hearts   Some people say it's over   Now that we spread our wings   But we know better darling   The hollow ring is only last year's echo   Bless you whoever you are   Holding her now   Be warm and kind hearted   And remember though love is strange   Now and forever our love will remain	0.9856	0.039	0.629	0.333
L	Scared	I'm scared, I'm scared, I'm scared   I'm scared, so scared   I'm scared, I'm scared, I'm scared   As the years roll away   And the price that I paid   And the straws slips away   You don't have to suffer   It is what it is   No bell book or candle   Can get you out of this, oh no!   I'm scarred, I'm scarred, I'm scarred   I'm scarred, uh huh   I'm scarred, I'm scarred, I'm scarred   Every day of my life   I just manage to survive   I just wanna stay alive   You don't have to worry   In heaven or hell   Just dance to the music   You do it so well, well, well!   Hatred and jealousy, gonna be the death of me   I guess I knew it right from the start   Sing out about love and peace   Don't wanna see the red raw meat   The green eyed goddamn straight from your heart   I'm tired, I'm tired, I'm tired   Of being so alone   No place to call my own   Like a rollin' stone	-0.9822	0.261	0.603	0.136
L	#9 Dream	So long ago   Was it in a dream   Was it just a dream   I know, yes I know   Seemed so very real   It seemed so real to me   Took a walk down the street   Through the heat whispered trees   I thought I could hear, hear, hear, hear   Somebody call out my name John   As it started to rain John   Two spirits dancing so strange   Ah! böwakawa poussè, poussè   Ah! böwakawa poussè, poussè   Ah! böwakawa poussè, poussè   Dream, dream away   Magic in the air   Was magic in the air   I believe, yes I believe   More I cannot say   What more can I say   On a river of sound   Through the mirror I go 'round, 'round   I thought I could feel, feel, feel, feel   Music touching my soul nhoJ   Something warm sudden cold nhoJ   The spirit dance was unfolding   Ah! böwakawa poussè, poussè   Ah! böwakawa poussè, poussè   Ah! böwakawa poussè, poussè   Ah! böwakawa poussè, poussè ...	0.9153	0.014	0.876	0.11
L	Surprise, Surprise Sweet Bird Of Paradox	Hey   Sweet as the smell of success   Her body's warm and wet   She gets me through this god awful loneliness   A natural high butterfly, oh I   I need, need, need her   Just like a willow tree   A breath of spring you see   And, oh boy, you don't know what she do to me   She makes me sweat and forget who I am   I need, need, need, need, need her   Well I was wondering how long   This could go on, on and on   Well I thought I could never be surprised   But could it be that I bit my own tongue, oh yeah   It's so hard to swallow when you're wrong   A bird of paradise   The sunrise in her eyes   God only knows such a sweet surprise   I was blind she blew my mind think that I   I love, love, love, love, love her   I love her, I love her, I love her, I love her, I love her   Sweet sweet, sweet sweet love   Sweet sweet, sweet sweet love   Sweet sweet, sweet sweet love   Sweet sweet, sweet sweet love   Sweet sweet, sweet sweet love   Ah yeah   Ah yeah	0.9996	0.047	0.37	0.583
L	Steel And Glass	This is a story about your friend and mine   Who is it, who is it, who is it?  There you stand with your L.A. tan   And your New York walk and your New York talk   You're mother left you when you were small   But you're gonna wish you wasn't born at all   Steel and glass   Steel and glass   Steel and glass   Steel and glass   Your phone don't ring no one answers your call   How does it feel to be off the wall   Well your mouthpiece squawks as he spreads your lies   But you can't pull strings if your hands are tied   Well your teeth are clean but your mind is capped   You leave your smell like an alley cat   Steel and glass   Steel and glass   Steel and glass   Steel and glass	0.9183	0.034	0.836	0.13
L	Beef Jerky	Beef Jerky, beef jerky, beef jerky	0.0	0.0	1.0	0.0
L	Nobody Loves You When You're Down And Out	Nobody loves you when you're down and out   Nobody sees you when you're on cloud nine   Everybody's hustlin' for a buck and a dime   I'll scratch your back and you scratch mine   I've been across to the other side   I've shown you everything, I got nothing to hide   And still you ask me do I love you, what it is, what it is   All I can tell you is it's all show biz   All I can tell you is it's all show biz   Nobody loves you when you're down and out   Nobody knows you when you're on cloud nine   Everybody's hustlin' for a buck and a dime   I'll scratch your back and you knife mine   I've been across the water now so many times   I've seen the one eyed witchdoctor leading the blind   And still you ask me do I love you, what you say, what you say   Everytime I put my finger on it, it slips away   Everytime I put my finger on it, it slips away   Well I get up in the morning and I'm looking in the mirror to see, ooh wee!   Then I'm lying in the darkness and I know I can't get to sleep, ooh wee!   Nobody loves you when you're old and grey   Nobody needs you when you're upside down   Everybody's hollerin' 'bout their own birthday   Everybody loves you when you're six foot in the ground	0.9661	0.032	0.857	0.111
L	Ya Ya	Well, I'm sitting in the la la   Waiting for the ya ya, uh huh   I'm sitting in the la la   Waiting for the ya ya, uh huh   It may sound funny   But I don't believe she's comin', no, no   Hey, baby, hurry   Don't make worry, no   Hey, baby, hurry   Don't make worry, uh huh huh   You know that I love you   Yes, I love you, uh huh   Well, I'm sitting in the la la   Waiting for the ya ya, uh huh   I'm sitting in the la la   Waiting for the ya ya, uh huh huh   It may sound funny   But I don't believe she's comin', no, no   Boogie down one time   Hey, baby, hurry   Don't make worry, no, no   Hey, baby, hurry   Don't make worry, no, no   You know that I love you   Always thinking of you, yeah, yeah   Hey hey hey rock	0.9913	0.06	0.665	0.275
L	Be Bop A Lula	Well, be-bop-a-lula, she's my baby   Be-bop-a-lula, I don't mean maybe   Be-bop-a-lula, she's my baby   Be-bop-a-lula, I don't mean maybe   Be-bop-a-lula, she's my baby doll, my baby doll, my baby doll   Well, she's the gal in the red blue jeans   She's the queen of all the teens   She's the woman that I know   She's the woman that loves me so, say   Be-bop-a-lula, she's my baby   Be-bop-a-lula, I don't mean maybe   Be Bop A Lula, she's my baby doll, my baby doll, my baby doll Let's rock   Well, she's the woman who's got that beat   She's the woman with the flyin' feet   She's the woman walks around the store   She's the woman that yells come on, more, more, more   Be-bop-a-lula, she's my baby   Be-bop-a-lula, I don't mean maybe   Be-bop-a-lula, she's my baby doll, my baby doll, my baby doll Let's rock again   Well, be-bop-a-lula, she's my baby   Be-bop-a-lula, I don't mean maybe   Be-bop-a-lula, she's my baby   Be-bop-a-lula, I don't mean maybe   Be-bop-a-lula, she's my baby doll, my baby doll, my baby doll	0.8779	0.0	0.932	0.068
L	Stand By Me	When the night has come   And the land is dark   And the moon is the only light we'll see   No, I won't be afraid, no, I won't be afraid   Just as long as you stand by me   And darling, darling, stand by me   Oh, now, now, stand by me   Stand by me   Stand by me   If the sky that we look upon   Should tumble and fall   And the mountains should crumble to the sea   I won't cry, I won't cry, no, I won't shed a tear   Just as long as you stand, stand by me   And darling, darling, stand by me   Oh, stand by me   Stand by me   Stand by me   Stand by me, yeah   Whenever you're in trouble   Won't you stand by me   Oh, now, now, stand by me   Oh, stand by me   Stand by me   Stand by me   Darling, darling, stand by me   Stand by me   Oh, stand by me   Stand by me   Stand by me, hee hee	0.9807	0.015	0.821	0.165
L	Rip It Up / Ready Teddy	Well, it's Saturday night, and I just got paid   Fool about my money, don't try to save   My heart says: Go! Go! Have a time   'Cause it's Saturday night and baby, I'm feelin' fine   Gonna rip it up   Gonna rock it up   Gonna shake it up   Gonna ball it up   Gonna rock it up   And ball the night   Got me a date and I don't be late   Picked her up in my eighty-eight   Shag on down to the Union hall   When the joint starts jumpin', and I'll have a ball   Gonna rip it up   Gonna rock it up   Gonna shake it up   Gonna ball it up   Gonna rock it up   And ball the night   Whoa!   Well, ready, set, go, man, go   I got a girl that I love so   And I'm ready   Ready, ready, teddy   I'm ready   Ready, ready, teddy   I'm ready   Ready, ready, teddy   I'm ready, ready, teddy, to rock and roll   Goin' to the corner, pick up my sweetie pie   She's a rock and roll baby, she's the apple of my eye   I'm ready   Ready, ready, teddy   I'm ready   Ready, ready, teddy   I'm ready   Ready, ready, teddy   I'm ready, ready, teddy, to rock and roll	0.9951	0.036	0.671	0.293
L	You Can't Catch Me	I bought a brand new airmobile   'Twas a custom made, 'twas a flightning deal   With a powerful motor and a hide away wing   Push in on the button, you will hear her sing   Now, you can't catch me   Baby, you can't catch me   'Cause if you get too close   You know I'm goin' like cool breeze   Hey, hey   Well, you walk   You walk   New Jersey turnpike in the wee wee hours   I was rollin' slowly 'cause of drizzlin' showers   Here come a flat-top, he was movin' up with me   Then come waving goodbye in a souped up jitney   I put my foot in the tank, I began to roll   Moanin' siren, 'twas the state patrol   I let out my wings, then I blew my horn   Bye-bye, New Jersey, I become airborn   You can't catch me   Baby, you can't catch me   'Cause if you get too close   You know I'm goin' like cool breeze   Hey   Well, you walk   Yeah, walk   I bought a brand new airmobile   'Twas a custom made, 'twas a flightning deal   With a powerful motor and a hide away wing   Push in on the button, you will hear her sing   Now, you can't catch me   Baby, you can't catch me   'Cause if you get too close   You know I'm goin' like cool breeze   Hey, hey   Well, you walk   You walk   Flying with my baby last Saturday night   Wasn't a grey cloud floatin' in sight   Big, full moon, shinin' up above   Cuddle up, honey, be my love   Sweetest little thing that I ever seen   I'm gonna name you Maybellene   Flying on the beam, set on flight control   Radio tuned to rock and roll   Two, three hours passed us by   Altitude dropped into five-oh-five   Fuel consumption, way too fast   Let's get on home before we run out of gas   Now, you can't catch me   Baby, you can't catch me   'Cause if you get too close   You know I'm goin' like cool breeze   Git it on   Yeah, walk   Git it on   Git it on, git it on, do it   Git it on, git it on   You know you can't catch me	0.9851	0.012	0.882	0.106
L	Ain't That A Shame	You made me cry   When you said goodbye   Ain't that a shame?   My tears fell like rain   Ain't that a shame?   You're the one to blame   You broke my heart   When you said we'd part   Ain't that a shame?   My tears fell like rain   Ain't that a shame?   You're the one to blame   Boogie, babe!   Ain't that a shame?   Ain't that a shame?   Look out!   Farewell, goodbye   Although I'll cry   Ain't that a shame?   My tears fell like rain   Ain't that a shame?   You're the one to blame   Boogie, babe!   Ain't that a shame?   Ain't that a shame?   You made me cry   When you said goodbye   Ain't that a shame?   My tears fell like rain   Ain't that a shame?   You're the one to blame	0.9214	0.175	0.572	0.253
L	Do You Want To Dance	Doo, doo, doo-doo   Well, do you wanna dance, hold my hand?   Tell me, I'm your lovin' man?   Baby, do you wanna dance, dance, dance?   Well, do you wanna dance under the moonlight?   Hug and kiss all through the night, now?   Baby, do you wanna dance, dance, dance?   Well, do you, do you, do you, do you wanna dance?   Do you, do you, do you, do you wanna dance?   Baby, do you wanna dance?   All right, all right   Look out   Look out   Do you, do you, do you, do you wanna dance? Do you wanna dance?   Do you, do you, do you, do you wanna dance?   Do you, do you, do you, do you wanna dance?   Well, do you wanna dance, make romance?   Kiss and squeeze, yeah, yeah?   Do you wanna dance?   All right, now, dance   Well!   Beep! Beep!   Wow!   Well, do you, do you, do you, do you wanna dance?   Do you, do you, do you, do you wanna dance?   Baby, do you wanna dance?	0.9877	0.0	0.797	0.203
L	Sweet Little Sixteen	Whoa   They're really rockin' in Boston   In Pittsburgh, P.A.   Deep in the heart of Texas   On down the 'Frisco Bay   All over Saint Louis   And down in New Orleans   All the cats want to dance with   Sweet little sixteen   Sweet little sixteen   She's got the grown up blues   Tight dresses and lipstick   She's sportin' high heeled boots   Oh, but tomorrow morning   She's gonna have to change her trend   Become sweet sixteen   And back in class again   Oh mommy, mommy   Please, please, may I go?   You know it's such a sight to see them   Somebody steal the show   Oh, daddy, daddy, daddy, daddy   You know I beg of you   Scream it to mama   It's alright with you   Because they're rockin' in New York   In Philadelphia, P.A.   Deep in the heart of Texas   Down the Rainbow, L.A.   All over Saint Louis   And down in New Orleans   All the mothers wanna to   Be sweet little sixteen   Sweet sweet sweet sixteen   She's so delicate   She's just got to have it   About half   Half a million	0.9708	0.04	0.791	0.169
L	Slippin' And Slidin'	Slippin' and a-slidin', peepin' and a-hidin'   Been told long time ago   Slippin' and a-slidin', peepin' and a-hidin'   Been told long time ago   I been told, baby, you been bold   I won't be your fool no more   Oh, big conniver, nothing but a jiver   Done got hip to your jive   Oh, big conniver, nothing but a jiver   Done got hip to your jive   Slippin' and a-slidin', peepin' and a-hidin'   Won't be your fool no more   Oh my Linda, she's a solid sender   You know you better surrender   Oh my Linda, she's a solid sender   You know you better surrender   Slippin' and a slidin', peepin' and a hidin'   Won't be your fool no more   Woo hoo   Slippin' and a-slidin', peepin' and a-hidin'   Been told long time ago   Slippin' and a-slidin', peepin' and a-hidin'   Been told long time ago   I been told, baby, you been bold   I won't be your fool no more   I won't be your fool no more, mama!	0.9268	0.088	0.747	0.165
L	Peggy Sue	If you knew Peggy Sue   Then you'd know why I feel blue   Without Peggy   My Peggy Sue   Oh well, I love you girl   Yes, I love you, Peggy Sue   Peggy Sue, Peggy Sue   Pretty, pretty, pretty, pretty, Peggy Sue   Oh-ho, Peggy   My Peggy Sue   Oh well, I love you girl   And I need you, Peggy Sue   I love you, Peggy Sue   With a love so rare and true   Oh-ho, Peggy   My Peggy Sue   Oh yes, I love you, girl   And I want you, Peggy Sue   Look out   Peggy Sue, Peggy Sue   Oh how my hearts yearn for you   Oh-ho, Peggy   My Peggy Sue   Oh well, I love you, girl   And I want you, Peggy Sue   Oh yes, I love you, girl   And I want you, Peggy Sue   Oh	0.9964	0.0	0.61	0.39
L	Bring It On Home To Me / Send Me Some Lovin'	If you ever change your mind   About leavin', leavin' me behind   Oh, you'd better bring it to me   Bring your sweet lovin'   Bring it on home to me   Yeah yeah yeah yeah yeah   You know I laughed, laughed when you left   But now I know, I only hurt myself   Oh, you'd better bring it to me   Bring your sweet lovin'   Bring it on home to me   Yeah yeah yeah yeah yeah yeah yeah   Oh, you'd better bring it to me   Bring your sweet lovin'   Bring it on home to me   Yeah yeah yeah yeah yeah   You know I'll always be your slave   Until I'm dead and buried in my grave   Oh, you'd better bring it to me   Bring your sweet lovin'   Bring it on home to me   Yeah yeah yeah yeah   Send me some lovin'   Send it, I pray   How can I love you   When you're so far away?   Send me your picture   Send it, my dear   So I can hold it   And pretend you are here   Send me your kisses   I can feel your touch   I need you, I need you so badly   Don't you know I miss you so much?   My days are so lonely   My nights are so blue   I'm here and I'm lonely   Just waitin' for you	0.9961	0.102	0.56	0.338
L	Just Because	Ah, remember this? Why, I must have been... thirteen when this came out! Or was it fourteen? Or was it twenty-two? I could have been twelve, actually.   Just because you left and said goodbye   Do you think that I will sit and cry?   Even if my heart should tell me so   Darling, I would rather let you go   Just because I want someone who's kind   With a heart as good and pure as mine   But maybe I am asking for too much   Darling, please don't ever break my heart   I know you think you're smart   Just runnin' around breakin' lovers' hearts   Just because you left and said goodbye, hey!   Do you think that I will sit and cry?   Even if my heart should tell me so   Darling, I would rather let you go   Woo-ooh hoo   It's too late, darling. You just gotta say goodbye. Why, the last time I saw you, you were wearing man's clothes. Not that I'm prejudiced, but you know. ??? But who am I to hassle you like this? I'm just gonna have to let you go. There's two basses in this. I hope you appreciate it. This is Doctor Winston O'Boogie saying goodnight from Record Plant East, New York. We hope you had a swell time. Everybody here says hi. Goodbye.   Just because you left and said goodbye   Do you think that I will sit and cry?   Even if my heart should tell me so   Darling, I would rather let you go   Ooh-ooh-hoo, goodbye   Ooh-hoo, so long   Been a long year	0.9951	0.033	0.765	0.202
